movieId,tmdbId,title,runtime,cast,imdb_link,poster,year,genre,director,soup,language,genre_name,language_name,runtime_name,score
318,278,The Shawshank Redemption,142,Tim Robbins,http://www.imdb.com/title/tt111161,https://image.tmdb.org/t/p/w500//q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,1994,5,Frank Darabont,prison corruption policebrutality timrobbins morganfreeman bobgunton frankdarabont frankdarabont frankdarabont drama crime castlerockentertainment,1,Drama,English,2h 22min,8.295433061481651
858,238,The Godfather,175,Marlon Brando,http://www.imdb.com/title/tt68646,https://image.tmdb.org/t/p/w500//3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972,5,Francis Ford Coppola,italy loveatfirstsight lossoffather marlonbrando alpacino jamescaan francisfordcoppola francisfordcoppola francisfordcoppola drama crime paramountpictures alfranproductions,1,Drama,English,2h 55min,8.138163909246897
2959,550,Fight Club,139,Edward Norton,http://www.imdb.com/title/tt137523,https://image.tmdb.org/t/p/w500//bptfVGEQuv6vDTIMVCHjJ9Dz8PX.jpg,1999,5,David Fincher,supportgroup dualidentity edwardnorton bradpitt meatloaf davidfincher davidfincher davidfincher drama regencyenterprises fox2000pictures taurusfilm,1,Drama,English,2h 19min,8.136252657928175
296,680,Pulp Fiction,154,John Travolta,http://www.imdb.com/title/tt110912,https://image.tmdb.org/t/p/w500//dRZpdpKLgN9nk57zggJCs1TjJb4.jpg,1994,6,Quentin Tarantino,transporter brothel drugdealer johntravolta samuell.jackson umathurman quentintarantino quentintarantino quentintarantino thriller crime miramaxfilms abandapart jerseyfilms,1,Others,English,2h 34min,8.11888973546378
58559,155,The Dark Knight,152,Christian Bale,http://www.imdb.com/title/tt468569,https://image.tmdb.org/t/p/w500//qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008,5,Christopher Nolan,dccomics crimefighter secretidentity christianbale heathledger aaroneckhart christophernolan christophernolan christophernolan drama action crime dccomics legendarypictures warnerbros.,1,Drama,English,2h 32min,8.075906394002926
356,13,Forrest Gump,142,Tom Hanks,http://www.imdb.com/title/tt109830,https://image.tmdb.org/t/p/w500//h5J4W4veyxMXDMjeNxZI46TsHOb.jpg,1994,3,Robert Zemeckis,vietnamveteran hippie mentallydisabled tomhanks robinwright garysinise robertzemeckis robertzemeckis robertzemeckis comedy drama romance paramountpictures,1,Comedy,English,2h 22min,8.018366745780487
79132,27205,Inception,148,Leonardo DiCaprio,http://www.imdb.com/title/tt1375666,https://image.tmdb.org/t/p/w500//9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,2010,1,Christopher Nolan,lossoflover dream kidnapping leonardodicaprio josephgordon-levitt ellenpage christophernolan christophernolan christophernolan action thriller sciencefiction legendarypictures warnerbros. syncopy,1,Action,English,2h 28min,7.996661578319707
527,424,Schindler's List,195,Liam Neeson,http://www.imdb.com/title/tt108052,https://image.tmdb.org/t/p/w500//c8Ass7acuOe4za6DhSattE359gr.jpg,1993,5,Steven Spielberg,factory concentrationcamp hero liamneeson benkingsley ralphfiennes stevenspielberg stevenspielberg stevenspielberg drama history war universalpictures amblinentertainment,1,Drama,English,3h 15min,7.97586203541485
109487,157336,Interstellar,169,Matthew McConaughey,http://www.imdb.com/title/tt816692,https://image.tmdb.org/t/p/w500//gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014,6,Christopher Nolan,savingtheworld artificialintelligence fathersonrelationship matthewmcconaughey jessicachastain annehathaway christophernolan christophernolan christophernolan adventure drama sciencefiction paramountpictures legendarypictures warnerbros.,1,Others,English,2h 49min,7.97124196894864
112552,244786,Whiplash,105,Miles Teller,http://www.imdb.com/title/tt2582802,https://image.tmdb.org/t/p/w500//6uSPcdGNA2A6vJmCagXkvnutegs.jpg,2014,5,Damien Chazelle,jazz obsession milesteller j.k.simmons melissabenoist damienchazelle damienchazelle damienchazelle drama boldfilms blumhouseproductions rightofwayfilms,1,Drama,English,1h 45min,7.971109650978855
